"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature"
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,20,2022-08-20,"10:00:00 AM",19.34
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,20,2022-08-20,"12:00:00 PM",19.4
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,20,2022-08-20,"02:00:00 PM",18.77
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,20,2022-08-20,"04:00:00 PM",18.76
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,20,2022-08-20,"06:00:00 PM",18.86
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,21,2022-08-21,"08:00:00 PM",19.01
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,21,2022-08-21,"10:00:00 PM",18.91
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,21,2022-08-21,"12:00:00 AM",18.22
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,21,2022-08-21,"02:00:00 AM",18.05
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,21,2022-08-21,"04:00:00 AM",17.75
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,21,2022-08-21,"06:00:00 AM",18.22
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,21,2022-08-21,"08:00:00 AM",19.66
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,21,2022-08-21,"10:00:00 AM",18.52
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,21,2022-08-21,"12:00:00 PM",19.5
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,21,2022-08-21,"02:00:00 PM",19.02
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,21,2022-08-21,"04:00:00 PM",18.8
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,21,2022-08-21,"06:00:00 PM",19.2
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,22,2022-08-22,"08:00:00 PM",18.55
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,22,2022-08-22,"10:00:00 PM",17.44
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,22,2022-08-22,"12:00:00 AM",17.12
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,22,2022-08-22,"02:00:00 AM",20.19
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,22,2022-08-22,"04:00:00 AM",20.47
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,22,2022-08-22,"06:00:00 AM",20.47
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,22,2022-08-22,"08:00:00 AM",20.58
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,22,2022-08-22,"10:00:00 AM",20.64
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,22,2022-08-22,"12:00:00 PM",20.7
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,22,2022-08-22,"02:00:00 PM",20.57
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,22,2022-08-22,"04:00:00 PM",20.6
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,22,2022-08-22,"06:00:00 PM",20.68
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,23,2022-08-23,"08:00:00 PM",20.72
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,23,2022-08-23,"10:00:00 PM",20.77
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,23,2022-08-23,"12:00:00 AM",20.36
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,23,2022-08-23,"02:00:00 AM",20.67
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,23,2022-08-23,"04:00:00 AM",20.78
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,23,2022-08-23,"06:00:00 AM",20.77
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,23,2022-08-23,"08:00:00 AM",20.73
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,23,2022-08-23,"10:00:00 AM",19.56
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,23,2022-08-23,"12:00:00 PM",16.71
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,23,2022-08-23,"02:00:00 PM",17.76
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,23,2022-08-23,"04:00:00 PM",17.18
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,23,2022-08-23,"06:00:00 PM",16.54
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,24,2022-08-24,"08:00:00 PM",16.04
"Starmon Mini","T6473",NA,NA,NA,NA,NA,NA,2022,8,24,2022-08-24,"10:00:00 PM",16.18
